"","text","chapitre"
"198","    The sounds of agony coming through the door behind him gnawed at the Duke's nerves .","20"
"199","    You think of nerve couriers racing to summon help that cannot come, Piter said .","20"
"200","The tooth would end it all quickly .","20"
"201","He sat near his mother hugging his knees within a small fabric and plastic hutment--a stilltent--that had come, like the Fremen clothing they now wore, from the pack left in the 'thopter .","21"
"202","    Something had happened to his awareness this night--he saw with sharpened clarity every circumstance and occurrence around him .","21"
"203","Do not count on any of our people escaping .","21"
"204","She felt the slick-soft skin of the stillsuit against her body, thinking how their lives depended on these garments .","21"
"205","Bible .","21"
"206","    But the idea of living out his life in the mind-groping-ahead-through-possible-futures that guided hurtling spaceships appalled him .","21"
"207","    No, he said .","21"
"208","    His mother was beside him, holding his hands, her face a gray blob peering at him .","21"
"209","    What have you done to me? he demanded .","21"
"210","I've just had a waking dream .","21"
"211","When my father, the Padishah Emperor, heard of Duke Leto's death and the manner of it, he went into such a rage as we had never before seen .","22"
"212","He blamed my mother and the compact forced on him to place a Bene Gesserit on the throne .","22"
"213","He blamed the Guild and the evil old Baron .","22"
"214","He blamed everyone in sight, not excepting even me, for he said I was a witch like all the others .","22"
"215","And when I sought to comfort him, saying it was done according to an older law of self-preservation to which even the most ancient rulers gave allegiance, he sneered at me and asked if I thought him a weakling .","22"
"216","I saw then that he had been aroused to this passion not by concern over the dead Duke but by what that death implied for all royalty .","22"
"217","As I look back on it, I think there may have been some prescience in my father, too, for it is certain that his line and Muad'Dib's shared common ancestry .","22"
"218","-In My Father's House, by the Princess Irulan .","22"
"219","    Now Harkonnen shall kill Harkonnen, Paul whispered .","22"
"220","    He had awakened shortly before nightfall, sitting up in the sealed and darkened stilltent .","22"
"221","You can't stop analyzing your data .","23"
"222","There had been a warm wind just before dawn, but now it was cold .","23"
"223","   worm .","23"
"224","    What do you fear? the Fremen demanded .","23"
"225","He said: Did you come here seeking information about the big guns?  .","23"
"226","Which legion? Do you know?  .","23"
"227","    You are pledged to his water? .","23"
"228","    Why did you not say at first it was a water matter? The Fremen stood up, seated his nose plugs firmly .","23"
"229","    Behind Hawat, a man cursed .","23"
"230","He started to draw it .","23"
"231","He tells us The vision of time is broad, but when you pass through it, time becomes a narrow door .","24"
"232","Idaho was out of his 'thopter and running toward them before the dust settled .","24"
"233","Instruments lined the bench--dials glowing, wire gridex planes with fluting glass emerging from them .","24"
"234","    You sense that Arrakis could be a paradise, Kynes said .","24"
"235","    Kynes met Paul's stare and, presently, said: No Harkonnen ever admitted error .","24"
"236","Yet the Harkon--  .","24"
"237","He herded them into the darkness, closed the door .","24"
"238","Follow the arrows like that one on the floor .","24"
"239","My people have done this in stealing 'thopters .","24"
"240","Their way slanted downward for a time, then up, ever up .","24"
"241","Here in his quarters, though, the ship's harsh metal was disguised with draperies, with fabric paddings and rare art objects  .","25"
"242","    The Baron noted the trace of semuta dullness in Nefud's eyes .","25"
"243","    He has spoken only enough, m'Lord, to reveal his belief that the Lady Jessica was his betrayer .","25"
"244","    Don't be dense, Nefud .","25"
"245","    Rabban advanced another step, thinking that the damnable old man had deliberately removed all chairs, forcing a visitor to stand .","25"
"246","But family punishments could be painful .","25"
"247","    Ah-h-h, I see, Rabban murmured .","25"
"248","He felt betrayed .","25"
"249","When last you ruled this place, I held you in strong rein .","25"
"250","    But you-- .","25"
"251","    I must find the right vortex, he thought .","26"
"252","    The vortex turned them, twisting, tipping .","26"
"253","    Jessica leaped off the 'thopter and ran, scrambling and sliding up the dune .","26"
"254","Jessica followed .","26"
"255","    It'd have to be sounds without rhythm, Jessica said .","26"
"256","But perhaps suspensors are another thing to avoid in the open desert .","26"
"257","    Another cascade of sand swept down on him, burying him to the hips .","26"
"258","She won't smother immediately .","26"
"259","    Presently, Paul moved slantwise up the slope, probing cautiously until he found the wall of the fissure, an outcurve of rock there .","26"
"260","    In that instant, the sun lifted above the horizon somewhere to the left beyond the end of the fissure .","26"
"261","We came from Caladan--a paradise world for our form of fife .","27"
"262","There existed no need on Caladan to build a physical paradise or a paradise of the mind--we could see the actuality all around us .","27"
"263","And the price we paid was the price men have always paid for achieving a paradise in this life--we went soft, we lost our edge .","27"
"264","He could see his own reflection now in a dark surface beside the smuggler and scowled at the lines of fatigue in his lumpy face .","27"
"265","    In your mood, I'm not sure we want you to stay .","27"
"266","    Haven't you heard that there may've been Sardaukar with the Harkonnens?  .","27"
"267","Arrakis isn't what they thought it'd be .","27"
"268","    Halleck noted with a touch of pride that those of his men still able to stand were standing--no relaxation in weariness and defeat for them .","27"
"269","    The Atreides training--We care for our own!--it held like a core of native rock in them, Halleck noted .","27"
"270","They have no bone and organ banks here--only outpost medicine .","27"
"271","We will save her as a gift .","28"
"272","He heard her soft progress and the cold single-grain dribbles of sound--the desert's own code spelling out its measure of safety .","28"
"273","Here was action that could be understood .","28"
"274","    Jessica crouched staring .","28"
"275","    Why would they call a worm? Jessica asked .","28"
"276","    We have other senses than eyes, she said .","28"
"277","He stared down through smoke bushes and weeds into a wedged slab sand-surface of moonlight inhabited by an up-hop, jump, pop-hop of tiny motion  .","28"
"278","    We needed that reminder, Jessica thought .","28"
"279","There was a low humming of light here more basic in its harmony than any other music in his universe .","28"
"280","    Paul, less conditioned to emergency response than his mother, felt chagrin that he had stiffened and tried to withdraw, that he had clouded his abilities by a momentary panic .","28"
"281","This Fremen religious adaptation, then, is the source of what we now recognize as The Pillars of the Universe, whose Qizara Tafwid are among us all with signs and proofs and prophecy .","29"
"282","They bring us the Arrakeen mystical fusion whose profound beauty is typified by the stirring music built on the old forms, but stamped with the new awakening .","29"
"283","Who has not heard and been deeply moved by The Old Man's Hymn?  .","29"
"284","And was caught on their beaks and claws! .","29"
"285","    His fingers clawed feebly at the sand  .","29"
"286","    Kynes found that he no longer had the strength to croak at it .","29"
"287","An act of disobedience must be a sin and require religious penalties .","29"
"288","Abruptly, it straightened, stretched its head upward and with a single screech, leaped into the air and banked away overhead with its companions behind it .","29"
"289","    Then he heard the sand rumbling .","29"
"290","A gigantic bubble of carbon dioxide was forming deep in the sand, heaving upward in an enormous blow with a dust whirlpool at its center .","29"
"291","    Scrambling sounds came from the rocks--above and to both sides    dark motions in the moonlight .","30"
"292","This child-man interests me .","30"
"293","I must get to a safe vantage point where I can threaten them and give her time to escape .","30"
"294","    There came a whispered imprecation from above Paul and a low voice: Call me spawn of a lizard! But the shadow pulled back out of view .","30"
"295","There had been a place called Sietch Tabr on the chart and beside it the notation: Stilgar .","30"
"296","    The two men Stilgar had sent returned supporting a third who stumbled and gasped between them .","30"
"297","    Paul stood up, emerging into moonlight above his concealing cleft, slipped the Fremen weapon back into his sash .","30"
"298","    I would not have permitted you to harm my companions, she said .","30"
"299","Kushti bakka te .","30"
"300","And she thought: They travel as a military company--even the girl, Chani .","30"
"301","Less chance of losing the whole troop .","31"
"302","I'd advise you against this because they'd not follow you .","31"
"303","Would he try to limit the necessities that a Bene Gesserit must follow? .","31"
"304","But it does not follow that justice is always the thing a people needs .","31"
"305","This was a time for boldness on her part, and she realized what she needed: some dar al-hikman, some school of translation that would give her     .","31"
"306","She recognized the sensation with a quickening of pulse .","31"
"307","Mine enemies are like green blades eaten down  .","31"
"308","They are like birds scattered by the huntsman  .","31"
"309","The prayer of the salat has carved out our hiding place .","31"
"310","    In grasping the present, he felt for the first time the massive steadiness of time's movement everywhere complicated by shifting currents, waves, surges, and countersurges, like surf against rocky cliffs .","31"
"311","You must remember that he was an emperor, father-head of a dynasty that reached back into the dimmest history .","32"
"312","    She realized that she had permitted herself the utterly relaxing sleep of great fatigue, and this suggested something of her own unconscious assessment on personal security within Stilgar's troop .","32"
"313","    Yes .","32"
"314","    Stop calling her Sayyadina! Jamis said .","32"
"315","    Now, Paul! Now! Jessica screamed it in her mind .","32"
"316","    Now the two figures on the rock floor circled each other; Jamis with knife hand held far forward and tipped up slightly; Paul crouched with knife held low .","32"
"317","    Paul crept farther into the ring, relying on his own edge in speed .","32"
"318","He sees that this is not like a child of his own people, but a fighting machine born and trained to it from infancy .","32"
"319","But she saw the way her son moved, the beads of perspiration on his face and shoulders, the careful wariness visible in the flow of muscles .","32"
"320","    Killing with the point lacks artistry, Idaho had once told Paul, but don't let that hold your hand when the opening presents itself .","32"
"321","She knew her trained awareness soon would give her what these Fremen obviously had--the ability to sense even the slightest change in the air's moisture .","33"
"322","    She looked out at the Arrakeen sunset, at the banked decks of color in the sky .","33"
"323","Jamis' weapon has been killed .","33"
"324","    Leader's right, the troop intoned .","33"
"325","Where I am dew be thou the water .","33"
"326","One by one, she took the others, showing each to Paul, counting them .","33"
"327","    It was like a child's game that had lost all inhibition in adult hands .","33"
"328","That air felt damp, he said  .","33"
"329","She saw how the Fremen slowed while passing the honeycomb lattice, felt the dampness of the air as she came opposite it .","33"
"330","    A splashing sounded on her left .","33"
"331","    But off the main way, Count Fenring and his lady noted the rubbish heaps, the scabrous brown walls reflected in the dark puddles of the streets, and the furtive scurrying of the people .","34"
"332","    They were in the reception hall of the keep waiting to go to the family games .","34"
"333","    Each day, some time each hour, brings change, she said .","34"
"334","    I wouldn't think of it! .","34"
"335","    Dare the Emperor charge me with treason before a full Landsraad Council? And the Baron held his breath with the hope of it  .","34"
"336","    And what science is that? the Baron asked .","34"
"337","They were so many pink trumpet mouths yammering amidst a flutter of colorful clothing and banners .","34"
"338","    The slow march began, sonorous with its ancient pomp, and Feyd-Rautha led his troupe across the arena for obeisance at the foot of his uncle's box .","34"
"339","    No one will harm the lad, the Baron said .","34"
"340","    The Baron pushed himself from his chair, settled his weight into his suspensors .","34"
"341","    The troop stopped, and Paul sensed abrupt tension .","35"
"342","    She returned his stare .","35"
"343","The stone floor was smooth, swept clean of sand .","35"
"344","And they'll find their share of death in the sand .","35"
"345","    Paul glanced at the openings in the tunnel walls, seeing the heavy carpets on the raised ledge, glimpses of rooms with bright fabrics on the walls, piled cushions .","35"
"346","He felt a sudden reluctance to be alone with this woman .","35"
"347","The butchers have yet to penetrate to our region .","35"
"348","    Get the food, he said .","35"
"349","He stood there a moment caught by uncertainty .","35"
"350","    There was no sign of a poison snooper here, no indication of their use anywhere in the cave warren .","35"
"351","She estimated there were more than five thousand people gathered out there beneath the ledge where she stood with Stilgar  .","36"
"352","    The decision stands, she said .","36"
"353","    Chani led the old Reverend Mother to a rock bench deep in the acoustical horn, returned to stand beside Stilgar .","36"
"354","She rested a hand on her abdomen, thinking of the unborn daughter there, asking herself: Do I have the right to risk us both? .","36"
"355","    This changes both of you! Holy Mother, what have we done?  .","36"
"356","I have much to give you .","36"
"357","    Jessica sensed the daughter-mote still touching her inner awareness, probed it without response .","36"
"358","    A tiny outflowing of love-comfort, like a reflection of what she had poured into it, came from the other mote .","36"
"359","I could take away the drug action and make it harmless .","36"
"360","    Oh, the wailing Jessica sensed in that parting .","36"
"361","    Nefud! the Baron roared  .","37"
"362","    Feyd-Rautha went pale, took a step forward .","37"
"363","    Ah, yes, the Baron said .","37"
"364","And as he had done many times since that terrible day on Arrakis, he found himself regretting the loss of Piter, the Mentat .","37"
"365","Well, Feyd, as for you: I'm setting Thufir Hawat to watch over you .","37"
"366","    Uncle, I don't understand you .","37"
"367","    I've learned much from Hawat, Feyd-Rautha agreed, and felt the truth of the words as he spoke them .","37"
"368","Hawat is subtle .","37"
"369","The poison's in him .","37"
"370","Uncle, you --  .","37"
"371","It is not enough that you say to me the Emperor is in a ferment about some association between Arrakis and his mysterious prison planet .","38"
"372","    We both know the figure for storm accretion, Hawat said .","38"
"373","    At my nephew's birthday several years ago, the Baron said .","38"
"374","What did Fenring say?  .","38"
"375","    The Baron turned his hands palms up .","38"
"376","Tell Rabban he either meets the spice quotas you set him or he'll be replaced .","38"
"377","    Of course he will! Hawat snapped .","38"
"378","    The Baron could not keep the sly tone of admiration out of his voice .","38"
"379","Production will drop off .","38"
"380","But it's well known that repression makes a religion flourish .","38"
"381","In such perfection, all things move toward death .","39"
"382","It was a kind of visual fatigue and it came, he knew, from the constant necessity of holding the prescient future as a kind of memory that was in itself a thing intrinsically of the past .","39"
"383","The wide-set green eyes, though, hid beneath their over-casting of spice-imbued blue .","39"
"384","We observe the rites .","39"
"385","    And what did my mother say to them? .","39"
"386","The imperfect vision plagued him .","39"
"387","Now, I must be Sayyadina and observe the rite that it may be reported truly in the Chronicles .","39"
"388","The dark niches of his eyes remained steady on Paul with their untamed stare .","39"
"389","Jessica returned her attention to Harah .","39"
"390","    Again Alia stirred beside her, half-sleeping, warm .","39"
"391","    And he had answered correctly: Half a meter for every meter of the maker's diameter .","40"
"392","When he had it turned, he motioned two steersmen out of the line and into positions ahead .","40"
"393","    A sense of inevitable dignity enfolded Stilgar as he pulled his robe tightly around him .","40"
"394","    Real pain exposed itself in Paul's voice .","40"
"395","    Paul whirled .","40"
"396","    One small 'thopter, Stilgar said .","40"
"397","    At this distance we're just a worm on the surface, Stilgar said .","40"
"398","    Stilgar nodded, dropped down the side on his hooks, leaped onto the sand .","40"
"399","He landed running, lunged against the slipface of a dune the way he had been taught, and hid himself beneath the cascade of sand over his robe  .","40"
"400","    True .","40"
"401","    In the con-bubble of the factory, Gurney Halleck leaned forward, adjusted the oil lenses of his binoculars and examined the landscape .","41"
"402","The ridge offered some shielding and protection .","41"
